number,film,release_date,run_time,film_rating,rotten_tomatoes,metacritic,cinema_score,critics_choice,year
1,Toy Story,11/22/1995,81,G,100,95,A,NA,1995
2,A Bug's Life,11/25/1998,95,G,92,77,A,NA,1998
3,Toy Story 2,11/24/1999,92,G,100,88,A+,100,1999
4,"Monsters, Inc.",11/2/2001,92,G,96,79,A+,92,2001
5,Finding Nemo,5/30/2003,100,G,99,90,A+,97,2003
6,The Incredibles,11/5/2004,115,PG,97,90,A+,88,2004
7,Cars,6/9/2006,117,G,74,73,A,89,2006
8,Ratatouille,6/29/2007,111,G,96,96,A,91,2007
9,WALL-E,6/27/2008,98,G,95,95,A,90,2008
10,Up,5/29/2009,96,PG,98,88,A+,95,2009
11,Toy Story 3,6/18/2010,103,G,98,92,A,97,2010
12,Cars 2,6/24/2011,106,G,40,57,A-,67,2011
13,Brave,6/22/2012,93,PG,78,69,A,81,2012
14,Monsters University,6/21/2013,104,G,80,65,A,79,2013
15,Inside Out,6/19/2015,95,PG,98,94,A,93,2015
16,The Good Dinosaur,11/25/2015,93,PG,76,66,A,75,2015
17,Finding Dory,6/17/2016,97,PG,94,77,A,89,2016
18,Cars 3,6/16/2017,102,G,69,59,A,66,2017
19,Coco,11/22/2017,105,PG,97,81,A+,89,2017
20,Incredibles 2,6/15/2018,118,PG,93,80,A+,86,2018
21,Toy Story 4,6/21/2019,100,G,97,84,A,94,2019
22,Onward,3/6/2020,102,PG,88,61,A-,79,2020
23,Soul,12/25/2020,100,PG,96,83,NA,93,2020
24,Luca,6/18/2021,95,PG,91,71,NA,NA,2021
25,Turning Red,3/11/2022,110,PG,95,83,NA,NA,2022
26,Lightyear,6/17/2022,NA,PG,NA,NA,NA,NA,2022
